epoch,log_dir,log_name,test_loss,train_loss,val_loss
35,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0028346,0.00283164,0.00286927
36,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00263626,0.00264503,0.002673
37,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00272163,0.00258919,0.00276236
38,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00258963,0.00255444,0.00262731
39,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00296202,0.0025291,0.00299844
40,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00337539,0.00258774,0.00340713
41,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00546444,0.00249757,0.00551521
42,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00391954,0.00246012,0.00395365
43,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.0045634,0.0025582,0.00459721
44,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00342584,0.00248645,0.0034642
45,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00285147,0.00240198,0.00287459
46,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00244247,0.00235018,0.00247053
47,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00277009,0.00233397,0.00279444
48,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00260134,0.00232037,0.00262209
49,logs/heat_attr_case500_AL_AC_fixed,heat_attr_case500_AL_AC_fixed,0.00278588,0.00230177,0.00281575
0,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.08795159,0.39147112,0.08801482
1,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00797468,0.01263221,0.0080467
2,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00719759,0.00722247,0.0072614
3,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00739112,0.00566812,0.00746007
4,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00456801,0.00480284,0.00461817
5,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00650056,0.0040282,0.00654773
6,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00525467,0.00340859,0.00529691
7,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00551266,0.00295245,0.00555789
8,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00562321,0.0026428,0.00567268
9,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00274462,0.00224769,0.00277484
10,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00491898,0.00192918,0.00495873
11,logs/heat_attr_case500_no_physics,heat_attr_case500_no_physics,0.00250163,0.00168189,0.0025311
